checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3.1-32B-Instruct,B_skr-cap_stale-time,B,seeker-capacity,inferential,medium,stale-time,adversarial,1.0,0.0,0.0,0.119812,0.003334,0.0046183000000000005,10,Instruct
Olmo-3.1-32B-Instruct,B_src-cap_none,B,source-capacity,inferential,medium,none,adversarial,0.0,0.9,0.1,0.0041081,0.0679076,0.0156601,10,Instruct
Olmo-3.1-32B-Instruct,B_src-cap_stale-qual,B,source-capacity,inferential,medium,stale-quality,adversarial,0.9,0.1,0.0,0.0921998,0.0163902,0.003927999999999999,10,Instruct
Olmo-3.1-32B-Instruct,B_src-cap_stale-time,B,source-capacity,inferential,medium,stale-time,adversarial,1.0,0.0,0.0,0.0760131,0.005648200000000001,0.0019873,10,Instruct
Olmo-3.1-32B-Instruct,B_src-mot_none,B,source-motivation,inferential,medium,none,adversarial,0.0,0.9,0.1,0.0052883,0.05867,0.0076002,10,Instruct
Olmo-3.1-32B-Instruct,B_src-mot_stale-qual,B,source-motivation,inferential,medium,stale-quality,adversarial,0.6,0.4,0.0,0.0357146,0.0355713,0.0019991,10,Instruct
Olmo-3.1-32B-Instruct,B_src-mot_stale-time,B,source-motivation,inferential,medium,stale-time,adversarial,0.4,0.6,0.0,0.031541599999999996,0.024757400000000002,0.0007538,10,Instruct
Olmo-3.1-32B-Instruct,C_env_stat_strong,C,environmental,statistical,strong,fresh,adversarial,0.8,0.2,0.0,0.1667481,0.0633606,0.0069381,10,Instruct
Olmo-3.1-32B-Instruct,C_env_stat_weak,C,environmental,statistical,weak,fresh,adversarial,0.9,0.1,0.0,0.15148920000000002,0.0541533,0.0039734,10,Instruct
Olmo-3.1-32B-Instruct,C_skr-cap_stat_strong,C,seeker-capacity,statistical,strong,fresh,adversarial,0.8,0.2,0.0,0.1009277,0.0819688,0.0037693000000000006,10,Instruct
Olmo-3.1-32B-Instruct,C_skr-cap_stat_weak,C,seeker-capacity,statistical,weak,fresh,adversarial,0.9,0.1,0.0,0.2887939,0.034182699999999996,0.0019321999999999998,10,Instruct
Olmo-3.1-32B-Instruct,C_src-cap_stat_strong,C,source-capacity,statistical,strong,fresh,adversarial,1.0,0.0,0.0,0.1275879,0.0001522,7.19e-05,10,Instruct
Olmo-3.1-32B-Instruct,C_src-cap_stat_weak,C,source-capacity,statistical,weak,fresh,adversarial,1.0,0.0,0.0,0.0925293,0.0118388,0.0002571,10,Instruct
Olmo-3.1-32B-Instruct,C_src-mot_stat_strong,C,source-motivation,statistical,strong,fresh,adversarial,1.0,0.0,0.0,0.0879456,0.0002471,5.330000000000001e-05,10,Instruct
Olmo-3.1-32B-Instruct,C_src-mot_stat_weak,C,source-motivation,statistical,weak,fresh,adversarial,1.0,0.0,0.0,0.0670897,0.0005295,0.0001116,10,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_fresh,D,no-cue,none,none,fresh,cooperate,1.0,0.0,0.0,0.3375242,1.41e-05,5.3e-06,10,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_none,D,no-cue,none,none,none,cooperate,0.7,0.0,0.3,0.0394677,0.0025377,0.0056707,10,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_stale-qual,D,no-cue,none,none,stale-quality,cooperate,1.0,0.0,0.0,0.1351564,0.0005268,0.00016199999999999998,10,Instruct
Olmo-3.1-32B-Instruct,D_cooperate_stale-time,D,no-cue,none,none,stale-time,cooperate,1.0,0.0,0.0,0.2755616,3.66e-05,3.4699999999999996e-05,10,Instruct
Olmo-3.1-32B-Instruct-DPO,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.9,0.1,0.0,0.0935577,0.0374482,0.004695599999999999,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.5,0.5,0.0,0.0796365,0.103125,0.0046196,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.2,0.8,0.0,0.0708434,0.08919679999999999,0.0064895,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.7,0.3,0.0,0.1606629,0.051324400000000006,0.0010581,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,0.8,0.2,0.0,0.1517579,0.06347660000000001,0.0081873,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_no-cue,A,no-cue,none,none,fresh,adversarial,1.0,0.0,0.0,0.1731201,0.0029232,0.0024821999999999995,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,1.0,0.0,0.0,0.0964111,0.0273315,0.008980499999999999,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.19582519999999998,0.025216699999999998,0.003275,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,1.0,0.0,0.0,0.12470719999999999,0.0156266,0.0027918,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.0845703,0.0110033,0.000854,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_statistical,A,seeker-capacity,statistical,medium,fresh,adversarial,0.9,0.1,0.0,0.1477051,0.0518434,0.0016434000000000002,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,0.8,0.2,0.0,0.0640869,0.032448199999999996,0.0085857,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.21054689999999998,0.0001613,3.86e-05,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_inferential,A,source-capacity,inferential,medium,fresh,adversarial,1.0,0.0,0.0,0.1479981,0.0094106,0.0005586,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_mechanism,A,source-capacity,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.1450438,0.014097500000000002,0.00048399999999999995,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_statistical,A,source-capacity,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.1105713,0.0018855,0.0002493,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_behavioral,A,source-motivation,behavioral,medium,fresh,adversarial,1.0,0.0,0.0,0.07451179999999999,0.0069427,0.0065247,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_direct,A,source-motivation,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.4571535,2.54e-05,5.759999999999999e-05,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_inferential,A,source-motivation,inferential,medium,fresh,adversarial,0.7,0.3,0.0,0.0770752,0.05221629999999999,0.0007614,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_mechanism,A,source-motivation,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.2405274,0.00047860000000000003,2.4700000000000004e-05,10,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_statistical,A,source-motivation,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.0664795,0.0003113,0.00011430000000000001,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_env_none,B,environmental,inferential,medium,none,adversarial,0.0,0.7,0.3,0.0070393999999999995,0.029348600000000002,0.0149567,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_env_stale-qual,B,environmental,inferential,medium,stale-quality,adversarial,0.3,0.7,0.0,0.033627699999999996,0.0991699,0.0300813,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_env_stale-time,B,environmental,inferential,medium,stale-time,adversarial,0.5,0.5,0.0,0.0494461,0.053637599999999994,0.016908299999999998,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_no-cue_none,B,no-cue,none,none,none,adversarial,0.1,0.8,0.1,0.0057147,0.0418095,0.0070668,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_no-cue_stale-qual,B,no-cue,none,none,stale-quality,adversarial,0.8,0.2,0.0,0.0725341,0.019192400000000002,0.0034305000000000004,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_no-cue_stale-time,B,no-cue,none,none,stale-time,adversarial,1.0,0.0,0.0,0.0857057,0.0094267,0.0010704,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_skr-cap_none,B,seeker-capacity,inferential,medium,none,adversarial,0.3,0.5,0.2,0.0063168,0.035539799999999996,0.0098326,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_skr-cap_stale-qual,B,seeker-capacity,inferential,medium,stale-quality,adversarial,0.8,0.2,0.0,0.1182618,0.0241654,0.007881099999999999,10,DPO
Olmo-3.1-32B-Instruct-DPO,B_skr-cap_stale-time,B,seeker-capacity,inferential,medium,stale-time,adversarial,1.0,0.0,0.0,0.1462157,0.0057797000000000005,0.005201099999999999,10,DPO
