pair,scenario,condition,class,turn,agent,logprob_diff
v0.2×v0.3,wallet,ignorance_deceive,mia_think_location,0,1,-0.3123664855957031
v0.3×v0.2,wallet,ignorance_deceive,mia_think_location,0,1,0.509335994720459
v0.3×v0.3,wallet,ignorance_deceive,mia_think_location,0,1,0.5083575248718262
v0.2×v0.2,key,ignorance_help,mia_think_location,0,1,1.2535438537597656
v0.2×v0.3,key,ignorance_help,mia_think_location,0,1,1.2535438537597656
v0.3×v0.2,key,ignorance_help,mia_think_location,0,1,0.9508316516876221
v0.3×v0.3,key,ignorance_help,mia_think_location,0,1,0.9508316516876221
v0.2×v0.2,pkg,ignorance_help,mia_think_location,0,1,1.1023001670837402
v0.2×v0.3,pkg,ignorance_help,mia_think_location,0,1,1.1023001670837402
v0.3×v0.2,pkg,ignorance_help,mia_think_location,0,1,0.8371419906616211
v0.3×v0.3,pkg,ignorance_help,mia_think_location,0,1,0.8371419906616211
v0.2×v0.2,wallet,ignorance_help,mia_think_location,0,1,0.6697478294372559
v0.2×v0.3,wallet,ignorance_help,mia_think_location,0,1,0.6697478294372559
v0.3×v0.2,wallet,ignorance_help,mia_think_location,0,1,0.6073093414306641
v0.3×v0.3,wallet,ignorance_help,mia_think_location,0,1,0.6073093414306641
v0.2×v0.2,key,shared_deceive,mia_think_location,0,1,0.1238715648651123
v0.2×v0.3,key,shared_deceive,mia_think_location,0,1,0.1238715648651123
v0.3×v0.2,key,shared_deceive,mia_think_location,0,1,0.6872467994689941
v0.3×v0.3,key,shared_deceive,mia_think_location,0,1,0.6872467994689941
v0.2×v0.2,pkg,shared_deceive,mia_think_location,0,1,-1.0560171604156494
v0.2×v0.3,pkg,shared_deceive,mia_think_location,0,1,-1.0560171604156494
v0.3×v0.2,pkg,shared_deceive,mia_think_location,0,1,0.07842135429382324
v0.3×v0.3,pkg,shared_deceive,mia_think_location,0,1,0.07842135429382324
v0.2×v0.2,wallet,shared_deceive,mia_think_location,0,1,-0.3123664855957031
v0.2×v0.3,wallet,shared_deceive,mia_think_location,0,1,-0.3123664855957031
v0.3×v0.3,wallet,shared_deceive,mia_think_location,0,1,0.5083575248718262
v0.2×v0.2,key,shared_help,mia_think_location,0,1,1.2535438537597656
v0.2×v0.3,key,shared_help,mia_think_location,0,1,1.2535438537597656
v0.3×v0.2,key,shared_help,mia_think_location,0,1,0.9508316516876221
v0.3×v0.3,key,shared_help,mia_think_location,0,1,0.9508316516876221
v0.2×v0.3,pkg,shared_help,mia_think_location,0,1,1.1029045581817627
v0.3×v0.2,pkg,shared_help,mia_think_location,0,1,0.8371419906616211
v0.3×v0.3,pkg,shared_help,mia_think_location,0,1,0.8371419906616211
v0.2×v0.2,wallet,shared_help,mia_think_location,0,1,0.6697478294372559
v0.2×v0.3,wallet,shared_help,mia_think_location,0,1,0.6697478294372559
v0.3×v0.2,wallet,shared_help,mia_think_location,0,1,0.6073093414306641
v0.3×v0.3,wallet,shared_help,mia_think_location,0,1,0.6073093414306641
v0.2×v0.2,key,false_deceive,other_honesty,0,1,-3.3460946083068848
v0.2×v0.3,key,false_deceive,other_honesty,0,1,-3.3460946083068848
v0.3×v0.2,key,false_deceive,other_honesty,0,1,-2.1836318969726562
v0.3×v0.3,key,false_deceive,other_honesty,0,1,-2.1836318969726562
v0.2×v0.2,pkg,false_deceive,other_honesty,0,1,-2.53310489654541
v0.2×v0.3,pkg,false_deceive,other_honesty,0,1,-2.53310489654541
v0.3×v0.2,pkg,false_deceive,other_honesty,0,1,-1.94563627243042
v0.3×v0.3,pkg,false_deceive,other_honesty,0,1,-1.94563627243042
v0.2×v0.2,wallet,false_deceive,other_honesty,0,1,-2.589235305786133
