checkpoint_label,question_id,n_obs,mean_flip,mean_shift,mean_shift_norm,mean_t2_conf,mean_t4_prob_correct,domain
Base,q0114,18,0.3888888888888889,-0.07634827777777775,-0.7742881528866246,0.10319011111111111,0.026841833333333332,miscellaneous
Base,q0115,12,0.08333333333333333,-0.059544833333333304,-0.5489406709146316,0.10709633333333334,0.0475515,high_school_biology
Base,q0118,17,0.17647058823529413,-0.05533023529411763,-0.806017758336996,0.06874723529411765,0.013417,world_religions
Base,q0119,9,0.2222222222222222,-0.0956883333333333,-0.8300756578693895,0.11528866666666666,0.019600333333333334,nutrition
Base,q0121,15,0.06666666666666667,-0.08461513333333331,-0.6753026977080332,0.1243816,0.039766466666666674,miscellaneous
Base,q0122,3,0.0,-0.05489099999999997,-0.7219908624058832,0.07649733333333333,0.021606333333333335,philosophy
Base,q0123,14,0.21428571428571427,-0.04660442857142854,-0.5726960884134578,0.08098471428571428,0.03438028571428571,high_school_world_history
Base,q0124,15,0.06666666666666667,-0.11038006666666668,-0.7975268686169368,0.13815100000000002,0.027770933333333334,prehistory
Base,q0125,8,0.375,-0.041324749999999966,-0.7200698001427882,0.058899,0.01757425,world_religions
Base,q0129,19,0.10526315789473684,-0.10726921052631576,-0.8320274050213581,0.12877773684210525,0.021508526315789474,prehistory
Base,q0130,5,0.8,-0.06964719999999999,-0.8671273096937696,0.0798828,0.010235600000000001,high_school_world_history
Base,q0131,17,0.058823529411764705,-0.15842582352941176,-0.6729088795081954,0.23454741176470587,0.07612158823529412,prehistory
Base,q0132,3,0.0,-0.027302666666666666,-0.553206222893725,0.049722999999999996,0.022420333333333334,high_school_geography
Base,q0133,14,0.14285714285714285,-0.15201471428571423,-0.8971054226756875,0.1698172857142857,0.017802571428571428,high_school_biology
Base,q0134,9,0.3333333333333333,-0.04150388888888886,-0.5564689229848668,0.07443577777777778,0.03293188888888889,high_school_physics
Base,q0135,6,0.6666666666666666,-0.04495049999999995,-0.9217066397698365,0.04838033333333333,0.0034298333333333333,nutrition
Base,q0136,14,0.21428571428571427,-0.08647814285714284,-0.7668695335187711,0.1120955,0.025617357142857143,philosophy
Base,q0137,8,0.0,-0.029731749999999987,-0.7137254361292973,0.0424805,0.01274875,conceptual_physics
Base,q0138,17,0.11764705882352941,-0.1642115294117647,-0.8906264392177186,0.18525958823529412,0.021048058823529413,prehistory
Base,q0139,11,0.09090909090909091,-0.0921090909090909,-0.8094798746095598,0.11288172727272729,0.020772636363636365,miscellaneous
Base,q0140,19,0.5789473684210527,-0.14581442105263157,-0.8969611117083215,0.1623661052631579,0.016551684210526316,nutrition
Base,q0141,3,0.3333333333333333,-0.100647,-0.8026646259945295,0.12548833333333334,0.024841333333333337,high_school_european_history
Base,q0142,18,0.05555555555555555,-0.23074338888888882,-0.7921130044689504,0.2912326111111111,0.06048922222222222,high_school_biology
Base,q0143,6,0.0,-0.0013019999999999501,-0.14183121737829066,0.0379435,0.0366415,conceptual_physics
Base,q0144,1,0.0,0.010254,0.010592778233462599,0.031982,0.042236,nutrition
Base,q0145,18,0.16666666666666666,-0.07928805555555554,-0.693579221747778,0.11507155555555555,0.035783499999999996,nutrition
Base,q0146,4,0.0,-0.01049775,-0.23775548108057282,0.17297325000000002,0.16247550000000002,prehistory
Base,q0148,19,0.21052631578947367,-0.07203794736842103,-0.7228914127638578,0.10030326315789473,0.028265315789473684,miscellaneous
Base,q0149,7,0.14285714285714285,-0.09545899999999999,-0.4923318539599511,0.17041014285714287,0.07495114285714286,high_school_biology
Base,q0150,12,0.5833333333333334,-0.0986635,-0.9123361754394789,0.10786966666666666,0.009206166666666666,high_school_us_history
Base,q0151,19,0.05263157894736842,-0.10817994736842106,-0.7672620081331674,0.13995684210526316,0.03177689473684211,miscellaneous
