checkpoint_label,question_id,cue_id,value,additive_pred,residual,outcome
RLVR,q0148,c16,-0.992178,-0.34838897796487,-0.64378902203513,shift
RLVR,q0091,c12,-0.923157,-0.2797719396150089,-0.6433850603849911,shift
RLVR,q0362,c01,-0.8193360000000001,-0.17601495753026067,-0.6433210424697394,shift
RLVR,q0039,c10,-0.996032,-0.3528798030163718,-0.6431521969836282,shift
RLVR,q0074,c12,-0.89006,-0.24704221593079836,-0.6430177840692016,shift
DPO,q0081,c14,0.4130859999999999,-0.22929310481968726,0.6423791048196872,shift
RLVR,q0191,c07,-0.904663,-0.26243617238421746,-0.6422268276157825,shift
SFT,q0395,c02,-0.677734,-0.03635351372543613,-0.6413804862745638,shift
RLVR,q0129,c12,-0.902087,-0.2608125975097457,-0.6412744024902542,shift
RLVR,q0062,c19,-0.996006,-0.35497015530390674,-0.6410358446960932,shift
RLVR,q0208,c17,-0.7714840000000001,-0.13065916853408077,-0.6408248314659193,shift
DPO,q0271,c05,0.291015,-0.3494207057941496,0.6404357057941497,shift
RLVR,q0369,c06,-0.991608,-0.35137195247940217,-0.6402360475205979,shift
RLVR,q0269,c07,0.496094,-0.14413704080527007,0.64023104080527,shift
RLVR,q0198,c02,0.5625,-0.07773011898859405,0.640230118988594,shift
RLVR,q0271,c02,-0.830811,-0.19234075787748295,-0.638470242122517,shift
RLVR,q0490,c06,-0.991707,-0.3537660445846653,-0.6379409554153347,shift
RLVR,q0028,c19,-0.977539,-0.3418620763565383,-0.6356769236434617,shift
DPO,q0110,c04,-0.915649,-0.2815436660852252,-0.6341053339147749,shift
RLVR,q0222,c08,-0.87207,-0.23907809472872563,-0.6329919052712744,shift
RLVR,q0420,c03,-0.822754,-0.18988958307850629,-0.6328644169214936,shift
DPO,q0275,c12,-0.959442,-0.3268377948781668,-0.6326042051218332,shift
RLVR,q0208,c16,-0.88208,-0.24951925428065946,-0.6325607457193405,shift
RLVR,q0024,c18,0.226563,-0.40558478195460285,0.6321477819546029,shift
RLVR,q0048,c09,-0.823669,-0.19154264756664974,-0.6321263524333502,shift
RLVR,q0372,c08,-0.8660589999999999,-0.23432792367609404,-0.6317310763239059,shift
DPO,q0275,c18,0.451171,-0.17953121616512915,0.6307022161651291,shift
DPO,q0413,c05,0.421875,-0.20776186953683962,0.6296368695368396,shift
RLVR,q0413,c10,-0.996043,-0.3664637445368396,-0.6295792554631604,shift
RLVR,q0444,c12,-0.8580329999999999,-0.22872321593079833,-0.6293097840692016,shift
SFT,q0006,c10,-0.849365,-0.22064685857192737,-0.6287181414280727,shift
RLVR,q0227,c07,-0.912842,-0.28416965922632265,-0.6286723407736774,shift
RLVR,q0455,c06,-0.941283,-0.3135758998478233,-0.6277071001521767,shift
RLVR,q0006,c05,0.5644530000000001,-0.06194498357192735,0.6263979835719274,shift
RLVR,q0369,c19,-0.999378,-0.37448431319864356,-0.6248936868013564,shift
SFT,q0312,c12,-0.838379,-0.21444242426413168,-0.6239365757358684,shift
DPO,q0189,c02,-0.7696999999999999,-0.14589009267280456,-0.6238099073271954,shift
RLVR,q0349,c10,-0.99998,-0.3765715734842081,-0.6234084265157919,shift
RLVR,q0087,c19,-0.956913,-0.3335233131986436,-0.6233896868013564,shift
RLVR,q0222,c04,-0.879883,-0.2578578371378568,-0.6220251628621432,shift
RLVR,q0018,c15,-0.893555,-0.27293933103172274,-0.6206156689682772,shift
RLVR,q0420,c09,-0.936157,-0.3155949896719129,-0.6205620103280871,shift
